Topic,Indicator Name,Long definition
Attainment,Barro-Lee: Percentage of female population age 15-19 with no education,Percentage of female population age 15-19 with no education
Attainment,Barro-Lee: Percentage of population age 15-19 with no education,Percentage of population age 15-19 with no education
Attainment,Barro-Lee: Percentage of female population age 15+ with no education,Percentage of female population age 15+ with no education
Attainment,Barro-Lee: Percentage of population age 15+ with no education,Percentage of population age 15+ with no education
Attainment,Barro-Lee: Percentage of female population age 20-24 with no education,Percentage of female population age 20-24 with no education
Attainment,Barro-Lee: Percentage of population age 20-24 with no education,Percentage of population age 20-24 with no education
Attainment,Barro-Lee: Percentage of female population age 25-29 with no education,Percentage of female population age 25-29 with no education
Attainment,Barro-Lee: Percentage of population age 25-29 with no education,Percentage of population age 25-29 with no education
Attainment,Barro-Lee: Percentage of female population age 25+ with no education,Percentage of female population age 25+ with no education
Attainment,Barro-Lee: Percentage of population age 25+ with no education,Percentage of population age 25+ with no education
Attainment,Barro-Lee: Percentage of female population age 30-34 with no education,Percentage of female population age 30-34 with no education
Attainment,Barro-Lee: Percentage of population age 30-34 with no education,Percentage of population age 30-34 with no education
Attainment,Barro-Lee: Percentage of female population age 35-39 with no education,Percentage of female population age 35-39 with no education
Attainment,Barro-Lee: Percentage of population age 35-39 with no education,Percentage of population age 35-39 with no education
Attainment,Barro-Lee: Percentage of female population age 40-44 with no education,Percentage of female population age 40-44 with no education
Attainment,Barro-Lee: Percentage of population age 40-44 with no education,Percentage of population age 40-44 with no education
Attainment,Barro-Lee: Percentage of female population age 45-49 with no education,Percentage of female population age 45-49 with no education
Attainment,Barro-Lee: Percentage of population age 45-49 with no education,Percentage of population age 45-49 with no education
Attainment,Barro-Lee: Percentage of female population age 50-54 with no education,Percentage of female population age 50-54 with no education
Attainment,Barro-Lee: Percentage of population age 50-54 with no education,Percentage of population age 50-54 with no education
Attainment,Barro-Lee: Percentage of female population age 55-59 with no education,Percentage of female population age 55-59 with no education
Attainment,Barro-Lee: Percentage of population age 55-59 with no education,Percentage of population age 55-59 with no education
Attainment,Barro-Lee: Percentage of female population age 60-64 with no education,Percentage of female population age 60-64 with no education
Attainment,Barro-Lee: Percentage of population age 60-64 with no education,Percentage of population age 60-64 with no education
Attainment,Barro-Lee: Percentage of female population age 65-69 with no education,Percentage of female population age 65-69 with no education
Attainment,Barro-Lee: Percentage of population age 65-69 with no education,Percentage of population age 65-69 with no education
Attainment,Barro-Lee: Percentage of female population age 70-74 with no education,Percentage of female population age 70-74 with no education
Attainment,Barro-Lee: Percentage of population age 70-74 with no education,Percentage of population age 70-74 with no education
Attainment,Barro-Lee: Percentage of female population age 75+ with no education,Percentage of female population age 75+ with no education
Attainment,Barro-Lee: Percentage of population age 75+ with no education,Percentage of population age 75+ with no education
